year,month,period_start,period_end,count,count_neg,count_pos,pct_positive,is_partial_month
2019,1,2019-01-01 00:00:01,2019-02-01 00:00:01,231,225,6,2.6,False
2019,2,2019-02-01 00:00:01,2019-03-01 00:00:01,364,342,22,6.04,False
2019,3,2019-03-01 00:00:01,2019-04-01 00:00:01,160,141,19,11.88,False
2019,3,2019-03-29 00:00:01,2019-04-29 00:00:01,73,63,10,13.7,False
2019,4,2019-04-29 00:00:01,2019-05-29 00:00:01,0,0,0,0.0,False
2019,5,2019-05-29 00:00:01,2019-06-29 00:00:01,0,0,0,0.0,False
2019,6,2019-06-29 00:00:01,2019-07-29 00:00:01,0,0,0,0.0,False
2019,7,2019-07-29 00:00:01,2019-08-29 00:00:01,0,0,0,0.0,False
2019,8,2019-08-29 00:00:01,2019-09-29 00:00:01,0,0,0,0.0,False
2019,9,2019-09-29 00:00:01,2019-10-29 00:00:01,0,0,0,0.0,False
2019,10,2019-10-29 00:00:01,2019-11-29 00:00:01,1,1,0,0.0,False
2019,11,2019-11-29 00:00:01,2019-12-29 00:00:01,68,63,5,7.35,False
2019,12,2019-12-29 00:00:01,2020-01-29 00:00:01,8,8,0,0.0,True
2020,1,2020-01-01 00:00:01,2020-02-01 00:00:01,137,129,8,5.84,False
2020,2,2020-02-01 00:00:01,2020-03-01 00:00:01,116,107,9,7.76,False
2020,3,2020-03-01 00:00:01,2020-04-01 00:00:01,131,124,7,5.34,False
2020,3,2020-03-30 00:00:01,2020-04-30 00:00:01,8,5,3,37.5,False
2020,4,2020-04-30 00:00:01,2020-05-30 00:00:01,8,6,2,25.0,False
2020,5,2020-05-30 00:00:01,2020-06-30 00:00:01,2,0,2,100.0,False
2020,6,2020-06-30 00:00:01,2020-07-30 00:00:01,0,0,0,0.0,False
2020,7,2020-07-30 00:00:01,2020-08-30 00:00:01,2,1,1,50.0,False
2020,8,2020-08-30 00:00:01,2020-09-30 00:00:01,0,0,0,0.0,False
2020,9,2020-09-30 00:00:01,2020-10-30 00:00:01,0,0,0,0.0,False
2020,10,2020-10-30 00:00:01,2020-11-30 00:00:01,32,28,4,12.5,False
2020,11,2020-11-30 00:00:01,2020-12-30 00:00:01,124,121,3,2.42,False
2020,12,2020-12-30 00:00:01,2021-01-30 00:00:01,3,3,0,0.0,True
2021,1,2021-01-01 00:00:01,2021-02-01 00:00:01,199,190,9,4.52,False
2021,2,2021-02-01 00:00:01,2021-03-01 00:00:01,526,514,12,2.28,False
2021,3,2021-03-01 00:00:01,2021-04-01 00:00:01,141,132,9,6.38,False
2021,3,2021-03-29 00:00:01,2021-04-29 00:00:01,181,167,14,7.73,False
2021,4,2021-04-29 00:00:01,2021-05-29 00:00:01,0,0,0,0.0,False
2021,5,2021-05-29 00:00:01,2021-06-29 00:00:01,14,12,2,14.29,False
