span_id,from_tower,to_tower,lat,lng,asset_name
1,,,-8.188709,114.35497,SPAN SUTT 150kV STBDO-BWNGI #0281-GT
2,,,-8.187041,114.35467,SPAN SUTT 150kV STBDO-BWNGI #0281
3,,,-8.152467,114.37775,SPAN SUTT 150kV STBDO-BWNGI #0263
4,,,-8.151833,114.38085,SPAN SUTT 150kV STBDO-BWNGI #0262
5,,,-8.151183,114.38402,SPAN SUTT 150kV STBDO-BWNGI #0261
6,,,-8.149417,114.3861,SPAN SUTT 150kV STBDO-BWNGI #0260
7,,,-8.146475,114.38717,SPAN SUTT 150kV STBDO-BWNGI #0259
8,,,-8.143592,114.38823,SPAN SUTT 150kV STBDO-BWNGI #0258
9,,,-8.140842,114.38925,SPAN SUTT 150kV STBDO-BWNGI #0257
10,,,-8.13825,114.39023,SPAN SUTT 150kV STBDO-BWNGI #0256
11,,,-8.135633,114.39122,SPAN SUTT 150kV STBDO-BWNGI #0255
12,,,-8.1328,114.39206,SPAN SUTT 150kV STBDO-BWNGI #0254
13,,,-8.129975,114.39264,SPAN SUTT 150kV STBDO-BWNGI #0253
14,,,-8.127,114.393265,SPAN SUTT 150kV STBDO-BWNGI #0252
15,,,-8.124067,114.39388,SPAN SUTT 150kV STBDO-BWNGI #0251
16,,,-8.121342,114.3948,SPAN SUTT 150kV STBDO-BWNGI #0250
17,,,-8.118908,114.39598,SPAN SUTT 150kV STBDO-BWNGI #0249
18,,,-8.116917,114.39694,SPAN SUTT 150kV STBDO-BWNGI #0248
19,,,-8.115083,114.39786,SPAN SUTT 150kV STBDO-BWNGI #0247
20,,,-8.11305,114.39908,SPAN SUTT 150kV STBDO-BWNGI #0246
21,,,-8.111042,114.400406,SPAN SUTT 150kV STBDO-BWNGI #0245
22,,,-8.108508,114.40222,SPAN SUTT 150kV STBDO-BWNGI #0244
23,,,-8.105758,114.404205,SPAN SUTT 150kV STBDO-BWNGI #0243
24,,,-8.1035,114.4053,SPAN SUTT 150kV STBDO-BWNGI #0242
25,,,-8.101775,114.40575,SPAN SUTT 150kV STBDO-BWNGI #0241
26,,,-8.098508,114.40654,SPAN SUTT 150kV STBDO-BWNGI #0240
27,,,-8.093367,114.40764,SPAN SUTT 150kV STBDO-BWNGI #0239
28,,,-8.089317,114.40851,SPAN SUTT 150kV STBDO-BWNGI #0238
29,,,-8.086867,114.40918,SPAN SUTT 150kV STBDO-BWNGI #0237
30,,,-8.08515,114.40966,SPAN SUTT 150kV STBDO-BWNGI #0236
31,,,-8.082433,114.41035,SPAN SUTT 150kV STBDO-BWNGI #0235
32,,,-8.078975,114.411224,SPAN SUTT 150kV STBDO-BWNGI #0234
33,,,-8.075425,114.41214,SPAN SUTT 150kV STBDO-BWNGI #0233
34,,,-8.071717,114.4131,SPAN SUTT 150kV STBDO-BWNGI #0232
35,,,-8.068542,114.4139,SPAN SUTT 150kV STBDO-BWNGI #0231
36,,,-8.066292,114.414474,SPAN SUTT 150kV STBDO-BWNGI #0230
37,,,-8.06395,114.414734,SPAN SUTT 150kV STBDO-BWNGI #0229
38,,,-8.060908,114.41478,SPAN SUTT 150kV STBDO-BWNGI #0228
39,,,-8.05795,114.414825,SPAN SUTT 150kV STBDO-BWNGI #0227
40,,,-8.05515,114.41486,SPAN SUTT 150kV STBDO-BWNGI #0226
41,,,-8.0525,114.41491,SPAN SUTT 150kV STBDO-BWNGI #0225
42,,,-8.050025,114.41492,SPAN SUTT 150kV STBDO-BWNGI #0224
43,,,-8.047158,114.41494,SPAN SUTT 150kV STBDO-BWNGI #0223
44,,,-8.04455,114.41499,SPAN SUTT 150kV STBDO-BWNGI #0222
45,,,-8.042467,114.41502,SPAN SUTT 150kV STBDO-BWNGI #0221
46,,,-8.039742,114.41504,SPAN SUTT 150kV STBDO-BWNGI #0220
47,,,-8.036875,114.41508,SPAN SUTT 150kV STBDO-BWNGI #0219
48,,,-8.034058,114.414375,SPAN SUTT 150kV STBDO-BWNGI #0218
49,,,-8.031067,114.41299,SPAN SUTT 150kV STBDO-BWNGI #0217
50,,,-8.028242,114.411674,SPAN SUTT 150kV STBDO-BWNGI #0216
51,,,-8.02555,114.41044,SPAN SUTT 150kV STBDO-BWNGI #0215
52,,,-8.022983,114.40924,SPAN SUTT 150kV STBDO-BWNGI #0214
53,,,-8.0202,114.40795,SPAN SUTT 150kV STBDO-BWNGI #0213
54,,,-8.017258,114.40667,SPAN SUTT 150kV STBDO-BWNGI #0212
55,,,-8.01465,114.40555,SPAN SUTT 150kV STBDO-BWNGI #0211
56,,,-8.012308,114.40448,SPAN SUTT 150kV STBDO-BWNGI #0210
57,,,-8.010083,114.403465,SPAN SUTT 150kV STBDO-BWNGI #0209
58,,,-8.007858,114.40244,SPAN SUTT 150kV STBDO-BWNGI #0208
59,,,-8.0053,114.40123,SPAN SUTT 150kV STBDO-BWNGI #0207
60,,,-8.002517,114.39994,SPAN SUTT 150kV STBDO-BWNGI #0206
61,,,-8.000008,114.39878,SPAN SUTT 150kV STBDO-BWNGI #0205
62,,,-7.997742,114.39801,SPAN SUTT 150kV STBDO-BWNGI #0204
63,,,-7.995408,114.39748,SPAN SUTT 150kV STBDO-BWNGI #0203
64,,,-7.992717,114.39685,SPAN SUTT 150kV STBDO-BWNGI #0202
65,,,-7.989883,114.3962,SPAN SUTT 150kV STBDO-BWNGI #0201
66,,,-7.987358,114.39562,SPAN SUTT 150kV STBDO-BWNGI #0200
67,,,-7.984917,114.39506,SPAN SUTT 150kV STBDO-BWNGI #0199
68,,,-7.9825,114.394485,SPAN SUTT 150kV STBDO-BWNGI #0198
69,,,-7.980067,114.39393,SPAN SUTT 150kV STBDO-BWNGI #0197
70,,,-7.97755,114.39335,SPAN SUTT 150kV STBDO-BWNGI #0196
71,,,-7.975167,114.392784,SPAN SUTT 150kV STBDO-BWNGI #0195
72,,,-7.97275,114.39222,SPAN SUTT 150kV STBDO-BWNGI #0194
73,,,-7.969992,114.39159,SPAN SUTT 150kV STBDO-BWNGI #0193
74,,,-7.967092,114.390915,SPAN SUTT 150kV STBDO-BWNGI #0192
75,,,-7.964108,114.390205,SPAN SUTT 150kV STBDO-BWNGI #0191
76,,,-7.961008,114.3895,SPAN SUTT 150kV STBDO-BWNGI #0190
77,,,-7.958017,114.38882,SPAN SUTT 150kV STBDO-BWNGI #0189
78,,,-7.955175,114.388145,SPAN SUTT 150kV STBDO-BWNGI #0188
79,,,-7.952333,114.38749,SPAN SUTT 150kV STBDO-BWNGI #0187
80,,,-7.949442,114.38683,SPAN SUTT 150kV STBDO-BWNGI #0186
81,,,-7.9464,114.38612,SPAN SUTT 150kV STBDO-BWNGI #0185
82,,,-7.943575,114.38546,SPAN SUTT 150kV STBDO-BWNGI #0184
83,,,-7.940983,114.384865,SPAN SUTT 150kV STBDO-BWNGI #0183
84,,,-7.938283,114.38425,SPAN SUTT 150kV STBDO-BWNGI #0182
85,,,-7.935617,114.38362,SPAN SUTT 150kV STBDO-BWNGI #0181
86,,,-7.933133,114.38304,SPAN SUTT 150kV STBDO-BWNGI #0180
87,,,-7.93085,114.382515,SPAN SUTT 150kV STBDO-BWNGI #0179
88,,,-7.928,114.38187,SPAN SUTT 150kV STBDO-BWNGI #0178
89,,,-7.92505,114.38089,SPAN SUTT 150kV STBDO-BWNGI #0177
90,,,-7.922533,114.37977,SPAN SUTT 150kV STBDO-BWNGI #0176
