tower_id,lat,lng,asset_name
1,-7.716406,114.01926,TOWER SUTT 150kV STBDO-BWNGI #0001
2,-7.714434,114.022156,TOWER SUTT 150kV STBDO-BWNGI #0002
3,-7.713285,114.02373,TOWER SUTT 150kV STBDO-BWNGI #0003
4,-7.711402,114.02657,TOWER SUTT 150kV STBDO-BWNGI #0004
5,-7.711367,114.02903,TOWER SUTT 150kV STBDO-BWNGI #0005
6,-7.711367,114.03242,TOWER SUTT 150kV STBDO-BWNGI #0006
7,-7.71135,114.0354,TOWER SUTT 150kV STBDO-BWNGI #0007
8,-7.711367,114.03872,TOWER SUTT 150kV STBDO-BWNGI #0008
9,-7.712383,114.041214,TOWER SUTT 150kV STBDO-BWNGI #0009
10,-7.713517,114.04397,TOWER SUTT 150kV STBDO-BWNGI #0010
11,-7.714433,114.046265,TOWER SUTT 150kV STBDO-BWNGI #0011
12,-7.715283,114.0483,TOWER SUTT 150kV STBDO-BWNGI #0012
13,-7.716217,114.05057,TOWER SUTT 150kV STBDO-BWNGI #0013
14,-7.71775,114.05435,TOWER SUTT 150kV STBDO-BWNGI #0014
15,-7.718614,114.056526,TOWER SUTT 150kV STBDO-BWNGI #0015
16,-7.719297,114.05823,TOWER SUTT 150kV STBDO-BWNGI #0016
17,-7.720283,114.0607,TOWER SUTT 150kV STBDO-BWNGI #0017
18,-7.721371,114.06342,TOWER SUTT 150kV STBDO-BWNGI #0018
19,-7.722417,114.06595,TOWER SUTT 150kV STBDO-BWNGI #0019
20,-7.722433,114.06793,TOWER SUTT 150kV STBDO-BWNGI #0020
21,-7.72245,114.070984,TOWER SUTT 150kV STBDO-BWNGI #0021
22,-7.72245,114.0741,TOWER SUTT 150kV STBDO-BWNGI #0022
23,-7.722472,114.07687,TOWER SUTT 150kV STBDO-BWNGI #0023
24,-7.722432,114.078964,TOWER SUTT 150kV STBDO-BWNGI #0024
25,-7.722483,114.08195,TOWER SUTT 150kV STBDO-BWNGI #0025
26,-7.7225,114.084564,TOWER SUTT 150kV STBDO-BWNGI #0026
27,-7.722517,114.08725,TOWER SUTT 150kV STBDO-BWNGI #0027
28,-7.722533,114.09005,TOWER SUTT 150kV STBDO-BWNGI #0028
29,-7.72255,114.09323,TOWER SUTT 150kV STBDO-BWNGI #0029
30,-7.722567,114.096214,TOWER SUTT 150kV STBDO-BWNGI #0030
31,-7.722583,114.09828,TOWER SUTT 150kV STBDO-BWNGI #0031
32,-7.722583,114.100685,TOWER SUTT 150kV STBDO-BWNGI #0032
33,-7.722583,114.103386,TOWER SUTT 150kV STBDO-BWNGI #0033
34,-7.7226,114.10622,TOWER SUTT 150kV STBDO-BWNGI #0034
35,-7.7226,114.10835,TOWER SUTT 150kV STBDO-BWNGI #0035
36,-7.7238,114.110535,TOWER SUTT 150kV STBDO-BWNGI #0036
37,-7.725033,114.1128,TOWER SUTT 150kV STBDO-BWNGI #0037
38,-7.7263,114.115234,TOWER SUTT 150kV STBDO-BWNGI #0038
39,-7.7278,114.118034,TOWER SUTT 150kV STBDO-BWNGI #0039
40,-7.72925,114.120735,TOWER SUTT 150kV STBDO-BWNGI #0040
41,-7.73075,114.1235,TOWER SUTT 150kV STBDO-BWNGI #0041
42,-7.732133,114.12617,TOWER SUTT 150kV STBDO-BWNGI #0042
43,-7.733583,114.12885,TOWER SUTT 150kV STBDO-BWNGI #0043
44,-7.735067,114.1316,TOWER SUTT 150kV STBDO-BWNGI #0044
45,-7.736517,114.134315,TOWER SUTT 150kV STBDO-BWNGI #0045
46,-7.737883,114.13686,TOWER SUTT 150kV STBDO-BWNGI #0046
47,-7.7392,114.13932,TOWER SUTT 150kV STBDO-BWNGI #0047
48,-7.740567,114.14183,TOWER SUTT 150kV STBDO-BWNGI #0048
49,-7.74195,114.14443,TOWER SUTT 150kV STBDO-BWNGI #0049
50,-7.743267,114.14692,TOWER SUTT 150kV STBDO-BWNGI #0050
51,-7.74465,114.14945,TOWER SUTT 150kV STBDO-BWNGI #0051
52,-7.745967,114.15193,TOWER SUTT 150kV STBDO-BWNGI #0052
53,-7.747333,114.15438,TOWER SUTT 150kV STBDO-BWNGI #0053
54,-7.748633,114.1568,TOWER SUTT 150kV STBDO-BWNGI #0054
55,-7.74945,114.15988,TOWER SUTT 150kV STBDO-BWNGI #0055
56,-7.750117,114.162735,TOWER SUTT 150kV STBDO-BWNGI #0056
57,-7.750767,114.16523,TOWER SUTT 150kV STBDO-BWNGI #0057
58,-7.75135,114.16769,TOWER SUTT 150kV STBDO-BWNGI #0058
59,-7.752033,114.17032,TOWER SUTT 150kV STBDO-BWNGI #0059
60,-7.752733,114.173134,TOWER SUTT 150kV STBDO-BWNGI #0060
61,-7.753467,114.17602,TOWER SUTT 150kV STBDO-BWNGI #0061
62,-7.75415,114.178764,TOWER SUTT 150kV STBDO-BWNGI #0062
63,-7.754917,114.1818,TOWER SUTT 150kV STBDO-BWNGI #0063
64,-7.755567,114.18477,TOWER SUTT 150kV STBDO-BWNGI #0064
65,-7.756367,114.1877,TOWER SUTT 150kV STBDO-BWNGI #0065
66,-7.756967,114.18988,TOWER SUTT 150kV STBDO-BWNGI #0066
67,-7.757667,114.19282,TOWER SUTT 150kV STBDO-BWNGI #0067
68,-7.758417,114.19569,TOWER SUTT 150kV STBDO-BWNGI #0068
69,-7.7591,114.19853,TOWER SUTT 150kV STBDO-BWNGI #0069
70,-7.759883,114.20147,TOWER SUTT 150kV STBDO-BWNGI #0070
71,-7.760467,114.203735,TOWER SUTT 150kV STBDO-BWNGI #0071
72,-7.761133,114.20647,TOWER SUTT 150kV STBDO-BWNGI #0072
73,-7.761867,114.20938,TOWER SUTT 150kV STBDO-BWNGI #0073
74,-7.7626,114.21228,TOWER SUTT 150kV STBDO-BWNGI #0074
75,-7.763317,114.21505,TOWER SUTT 150kV STBDO-BWNGI #0075
76,-7.76405,114.21793,TOWER SUTT 150kV STBDO-BWNGI #0076
77,-7.76467,114.22054,TOWER SUTT 150kV STBDO-BWNGI #0077
78,-7.766294,114.22319,TOWER SUTT 150kV STBDO-BWNGI #0078
79,-7.767867,114.22588,TOWER SUTT 150kV STBDO-BWNGI #0079
80,-7.769399,114.22848,TOWER SUTT 150kV STBDO-BWNGI #0080
81,-7.770934,114.23106,TOWER SUTT 150kV STBDO-BWNGI #0081
82,-7.77256,114.233765,TOWER SUTT 150kV STBDO-BWNGI #0082
83,-7.772866,114.23671,TOWER SUTT 150kV STBDO-BWNGI #0083
84,-7.773083,114.23977,TOWER SUTT 150kV STBDO-BWNGI #0084
85,-7.773355,114.242714,TOWER SUTT 150kV STBDO-BWNGI #0085
86,-7.773614,114.245636,TOWER SUTT 150kV STBDO-BWNGI #0086
87,-7.773883,114.248665,TOWER SUTT 150kV STBDO-BWNGI #0087
88,-7.77415,114.251686,TOWER SUTT 150kV STBDO-BWNGI #0088
89,-7.77445,114.25467,TOWER SUTT 150kV STBDO-BWNGI #0089
90,-7.774717,114.25737,TOWER SUTT 150kV STBDO-BWNGI #0090
91,-7.775033,114.260635,TOWER SUTT 150kV STBDO-BWNGI #0091
92,-7.775319,114.26346,TOWER SUTT 150kV STBDO-BWNGI #0092
93,-7.775636,114.26648,TOWER SUTT 150kV STBDO-BWNGI #0093
94,-7.775919,114.2694,TOWER SUTT 150kV STBDO-BWNGI #0094
95,-7.776177,114.272285,TOWER SUTT 150kV STBDO-BWNGI #0095
96,-7.775818,114.27507,TOWER SUTT 150kV STBDO-BWNGI #0096
97,-7.775332,114.27788,TOWER SUTT 150kV STBDO-BWNGI #0097
98,-7.774872,114.28066,TOWER SUTT 150kV STBDO-BWNGI #0098
99,-7.774383,114.28348,TOWER SUTT 150kV STBDO-BWNGI #0099
100,-7.773911,114.286285,TOWER SUTT 150kV STBDO-BWNGI #0100
101,-7.773513,114.28881,TOWER SUTT 150kV STBDO-BWNGI #0101
102,-7.773038,114.29185,TOWER SUTT 150kV STBDO-BWNGI #0102
103,-7.772569,114.294525,TOWER SUTT 150kV STBDO-BWNGI #0103
104,-7.772133,114.29733,TOWER SUTT 150kV STBDO-BWNGI #0104
105,-7.771633,114.30013,TOWER SUTT 150kV STBDO-BWNGI #0105
106,-7.771171,114.30285,TOWER SUTT 150kV STBDO-BWNGI #0106
107,-7.771812,114.30593,TOWER SUTT 150kV STBDO-BWNGI #0107
108,-7.772399,114.308304,TOWER SUTT 150kV STBDO-BWNGI #0108
109,-7.773107,114.31145,TOWER SUTT 150kV STBDO-BWNGI #0109
110,-7.775382,114.313286,TOWER SUTT 150kV STBDO-BWNGI #0110
111,-7.777599,114.31512,TOWER SUTT 150kV STBDO-BWNGI #0111
112,-7.779701,114.31525,TOWER SUTT 150kV STBDO-BWNGI #0112
113,-7.783182,114.315475,TOWER SUTT 150kV STBDO-BWNGI #0113
114,-7.786071,114.315704,TOWER SUTT 150kV STBDO-BWNGI #0114
115,-7.788726,114.315926,TOWER SUTT 150kV STBDO-BWNGI #0115
116,-7.791546,114.31612,TOWER SUTT 150kV STBDO-BWNGI #0116
117,-7.794341,114.31633,TOWER SUTT 150kV STBDO-BWNGI #0117
118,-7.797317,114.3166,TOWER SUTT 150kV STBDO-BWNGI #0118
119,-7.800081,114.31674,TOWER SUTT 150kV STBDO-BWNGI #0119
120,-7.802861,114.316956,TOWER SUTT 150kV STBDO-BWNGI #0120
121,-7.805667,114.3173,TOWER SUTT 150kV STBDO-BWNGI #0121
122,-7.808557,114.31741,TOWER SUTT 150kV STBDO-BWNGI #0122
123,-7.811393,114.31759,TOWER SUTT 150kV STBDO-BWNGI #0123
124,-7.814217,114.31792,TOWER SUTT 150kV STBDO-BWNGI #0124
125,-7.816717,114.3181,TOWER SUTT 150kV STBDO-BWNGI #0125
126,-7.81955,114.3183,TOWER SUTT 150kV STBDO-BWNGI #0126
127,-7.822017,114.318535,TOWER SUTT 150kV STBDO-BWNGI #0127
128,-7.824783,114.31872,TOWER SUTT 150kV STBDO-BWNGI #0128
129,-7.82785,114.31892,TOWER SUTT 150kV STBDO-BWNGI #0129
130,-7.830433,114.3191,TOWER SUTT 150kV STBDO-BWNGI #0130
131,-7.833033,114.31928,TOWER SUTT 150kV STBDO-BWNGI #0131
132,-7.835533,114.319534,TOWER SUTT 150kV STBDO-BWNGI #0132
133,-7.8385,114.31968,TOWER SUTT 150kV STBDO-BWNGI #0133
134,-7.841217,114.31993,TOWER SUTT 150kV STBDO-BWNGI #0134
135,-7.84405,114.320114,TOWER SUTT 150kV STBDO-BWNGI #0135
136,-7.846817,114.320366,TOWER SUTT 150kV STBDO-BWNGI #0136
137,-7.849667,114.32055,TOWER SUTT 150kV STBDO-BWNGI #0137
138,-7.851817,114.32073,TOWER SUTT 150kV STBDO-BWNGI #0138
139,-7.8545,114.320984,TOWER SUTT 150kV STBDO-BWNGI #0139
140,-7.857117,114.3212,TOWER SUTT 150kV STBDO-BWNGI #0140
141,-7.859938,114.32136,TOWER SUTT 150kV STBDO-BWNGI #0141
142,-7.862533,114.32162,TOWER SUTT 150kV STBDO-BWNGI #0142
143,-7.86535,114.32185,TOWER SUTT 150kV STBDO-BWNGI #0143
144,-7.868156,114.32197,TOWER SUTT 150kV STBDO-BWNGI #0144
145,-7.870917,114.32225,TOWER SUTT 150kV STBDO-BWNGI #0145
146,-7.873767,114.32243,TOWER SUTT 150kV STBDO-BWNGI #0146
147,-7.87663,114.32267,TOWER SUTT 150kV STBDO-BWNGI #0147
148,-7.8788,114.32408,TOWER SUTT 150kV STBDO-BWNGI #0148
149,-7.881517,114.32587,TOWER SUTT 150kV STBDO-BWNGI #0149
150,-7.883433,114.32719,TOWER SUTT 150kV STBDO-BWNGI #0150
151,-7.885833,114.328766,TOWER SUTT 150kV STBDO-BWNGI #0151
152,-7.888083,114.33035,TOWER SUTT 150kV STBDO-BWNGI #0152
