tower_id,gfd_ElNino,gfd_LaNina,gfd_Neutral,dGFD_dENSO,units,lat,lng,elev_m
1,8.0,8.0,8.32,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.716406,114.01926,51.0
2,7.68,7.68,8.0,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.714434,114.022156,98.0
3,7.04,8.0,8.0,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.713285,114.02373,89.0
4,7.68,8.0,8.32,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.711402,114.02657,78.0
5,7.84,8.16,8.0,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.711367,114.02903,60.0
6,7.52,8.0,8.0,-0.2400000000000002,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.711367,114.03242,55.0
7,7.68,8.32,8.0,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.71135,114.0354,41.0
8,8.32,8.32,8.32,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.711367,114.03872,34.0
9,8.0,8.32,8.32,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.712383,114.041214,33.0
10,7.68,7.84,8.32,-0.08000000000000007,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.713517,114.04397,40.0
11,7.04,8.0,7.84,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.714433,114.046265,47.0
12,7.36,7.68,8.0,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.715283,114.0483,44.0
13,7.52,8.32,7.36,-0.40000000000000036,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.716217,114.05057,47.0
14,7.04,8.0,8.0,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.71775,114.05435,50.0
15,7.68,8.0,7.52,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.718614,114.056526,39.0
16,7.68,7.68,7.68,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.719297,114.05823,40.0
17,7.36,7.68,8.0,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.720283,114.0607,28.0
18,6.72,8.0,8.0,-0.6400000000000001,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.721371,114.06342,43.0
19,7.68,7.68,8.32,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.722417,114.06595,34.0
20,7.04,7.68,7.68,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.722433,114.06793,34.0
21,8.0,7.68,7.68,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.72245,114.070984,33.0
22,7.68,8.0,7.36,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.72245,114.0741,29.0
23,7.36,8.16,7.68,-0.3999999999999999,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.722472,114.07687,31.0
24,7.36,7.36,7.2,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.722432,114.078964,32.0
25,7.04,6.88,7.04,0.08000000000000007,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.722483,114.08195,23.0
26,6.4,7.04,7.04,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.7225,114.084564,26.0
27,6.72,7.04,7.04,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.722517,114.08725,32.0
28,5.44,6.08,6.08,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.722533,114.09005,34.0
29,5.76,6.08,6.4,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.72255,114.09323,34.0
30,6.72,6.4,6.88,0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.722567,114.096214,40.0
31,6.4,6.72,6.4,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.722583,114.09828,43.0
32,6.4,6.72,6.4,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.722583,114.100685,30.0
33,5.76,6.88,6.4,-0.56,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.722583,114.103386,32.0
34,6.08,6.72,6.72,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.7226,114.10622,33.0
35,6.4,6.4,7.04,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.7226,114.10835,42.0
36,5.76,5.76,6.24,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.7238,114.110535,37.0
37,5.44,6.4,6.4,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.725033,114.1128,52.0
