scheme,target,model,MAE,RMSE,CRPS
EXPANDING,count,A,12.075642546461053,14.653009082627877,10.082103285619247
EXPANDING,count,C,12.022421994779245,14.32914382508776,10.00761200954118
EXPANDING,count,D,14.389385499251278,16.49458869800342,10.82403342491789
EXPANDING,density,D,4.601094158293581,5.274410225963032,3.461245527644987
LOYO,count,A,10.74546687002203,13.18330273393785,8.88212065492286
LOYO,count,C,10.63808234325681,12.910517001941528,8.75582238517718
LOYO,count,D,12.854321918872698,15.525884928157776,9.544890602432549
LOYO,density,A,3.4350737163192675,4.214594592927152,2.569944626054484
LOYO,density,C,3.401512226812184,4.128234892863131,2.5262828597894718
LOYO,density,D,4.110304960858982,4.964428511506962,3.0520778661556087
